p	n	D	T	He3	He4	Be7	Li7	Li6
4.608373e-01	5.391627e-01	3.821746e-12	1.091403e-23	1.166224e-23	1.017438e-31	1.016570e-31	1.016570e-31	1.017405e-31	%
4.602394e-01	5.397606e-01	3.899943e-12	1.290403e-23	1.383529e-23	2.752783e-33	2.608246e-33	2.608246e-33	2.688927e-33	%
4.599748e-01	5.400252e-01	3.891568e-12	1.298904e-23	1.394585e-23	-6.277213e-35	-2.173539e-34	-2.173539e-34	-1.470451e-34	%
4.598387e-01	5.401613e-01	3.876377e-12	1.289807e-23	1.385330e-23	1.719331e-34	1.811280e-35	1.811282e-35	8.883488e-35	%
4.596830e-01	5.403170e-01	3.854270e-12	1.278313e-23	1.373232e-23	1.516706e-34	-1.509421e-36	-1.509402e-36	6.860498e-35	%
4.594551e-01	5.405449e-01	3.821736e-12	1.261426e-23	1.355387e-23	1.523962e-34	1.257635e-37	1.257832e-37	6.943876e-35	%
4.591561e-01	5.408439e-01	3.779711e-12	1.239566e-23	1.332299e-23	1.510585e-34	-4.664419e-39	-4.643391e-39	7.148784e-35	%
4.588227e-01	5.411773e-01	3.734015e-12	1.215352e-23	1.306785e-23	1.496051e-34	-6.993526e-42	1.516853e-41	7.262476e-35	%
4.584774e-01	5.415226e-01	3.688246e-12	1.190809e-23	1.280982e-23	1.480189e-34	-2.305641e-41	-4.094252e-43	7.145223e-35	%
4.581265e-01	5.418735e-01	3.643126e-12	1.166794e-23	1.255749e-23	1.464615e-34	-2.350993e-41	-3.635028e-43	7.030531e-35	%
4.577704e-01	5.422296e-01	3.598644e-12	1.143363e-23	1.231135e-23	1.449672e-34	-2.402847e-41	-3.699218e-43	6.917590e-35	%
4.574090e-01	5.425910e-01	3.554791e-12	1.120502e-23	1.207126e-23	1.435369e-34	-2.456001e-41	-3.762839e-43	6.806376e-35	%
4.570422e-01	5.429577e-01	3.511559e-12	1.098196e-23	1.183705e-23	1.421695e-34	-2.510510e-41	-3.827664e-43	6.696861e-35	%
4.566702e-01	5.433298e-01	3.468938e-12	1.076431e-23	1.160857e-23	1.408640e-34	-2.566414e-41	-3.893707e-43	6.589018e-35	%
4.562929e-01	5.437071e-01	3.426920e-12	1.055194e-23	1.138568e-23	1.396193e-34	-2.623754e-41	-3.960982e-43	6.482820e-35	%
4.559102e-01	5.440897e-01	3.385496e-12	1.034472e-23	1.116823e-23	1.384345e-34	-2.682571e-41	-4.029502e-43	6.378242e-35	%
