t	T9	h	phie
1.085501e-02	9.980003e+01	5.733683e-05	6.907025e-10
1.088801e-02	9.963179e+01	5.733679e-05	6.914679e-10
1.093751e-02	9.938097e+01	5.733672e-05	6.918062e-10
1.101176e-02	9.900815e+01	5.733661e-05	6.919794e-10
1.112314e-02	9.845645e+01	5.733646e-05	6.921774e-10
1.129021e-02	9.764538e+01	5.733623e-05	6.924670e-10
1.149428e-02	9.668097e+01	5.733594e-05	6.928471e-10
1.170244e-02	9.572608e+01	5.733565e-05	6.932714e-10
1.191478e-02	9.478062e+01	5.733536e-05	6.937108e-10
1.213137e-02	9.384450e+01	5.733506e-05	6.941572e-10
1.235231e-02	9.291763e+01	5.733475e-05	6.946104e-10
1.257769e-02	9.199991e+01	5.733444e-05	6.950702e-10
1.280758e-02	9.109125e+01	5.733412e-05	6.955368e-10
1.304208e-02	9.019157e+01	5.733379e-05	6.960102e-10
1.328129e-02	8.930078e+01	5.733346e-05	6.964903e-10
1.352529e-02	8.841878e+01	5.733312e-05	6.969771e-10
1.377419e-02	8.754549e+01	5.733277e-05	6.974705e-10
1.402808e-02	8.668083e+01	5.733242e-05	6.979705e-10
1.428706e-02	8.582471e+01	5.733206e-05	6.984769e-10
1.455124e-02	8.497705e+01	5.733169e-05	6.989898e-10
1.482071e-02	8.413776e+01	5.733131e-05	6.995089e-10
1.509559e-02	8.330675e+01	5.733093e-05	7.000342e-10
1.537599e-02	8.248396e+01	5.733054e-05	7.005655e-10
1.566201e-02	8.166929e+01	5.733014e-05	7.011028e-10
1.595376e-02	8.086267e+01	5.732974e-05	7.016460e-10
1.625137e-02	8.006401e+01	5.732932e-05	7.021950e-10
1.655495e-02	7.927324e+01	5.732890e-05	7.027498e-10
1.686461e-02	7.849029e+01	5.732847e-05	7.033102e-10
1.718049e-02	7.771506e+01	5.732803e-05	7.038762e-10
1.750271e-02	7.694749e+01	5.732758e-05	7.044478e-10
1.783138e-02	7.618751e+01	5.732713e-05	7.050249e-10
1.816665e-02	7.543503e+01	5.732666e-05	7.056076e-10
1.850865e-02	7.468998e+01	5.732618e-05	7.061959e-10
1.885751e-02	7.395229e+01	5.732570e-05	7.067897e-10
1.921336e-02	7.322189e+01	5.732520e-05	7.073891e-10
1.957635e-02	7.249870e+01	5.732470e-05	7.079942e-10
1.994663e-02	7.178265e+01	5.732418e-05	7.086049e-10
2.032433e-02	7.107368e+01	5.732366e-05	7.092214e-10
2.070961e-02	7.037170e+01	5.732312e-05	7.098438e-10
2.110262e-02	6.967666e+01	5.732258e-05	7.104720e-10
2.150352e-02	6.898849e+01	5.732202e-05	7.111064e-10
2.191245e-02	6.830711e+01	5.732145e-05	7.117468e-10
2.232959e-02	6.763247e+01	5.732087e-05	7.123935e-10
2.275510e-02	6.696448e+01	5.732028e-05	7.130466e-10
2.318915e-02	6.630310e+01	5.731967e-05	7.137061e-10
2.363190e-02	6.564824e+01	5.731906e-05	7.143723e-10
2.408353e-02	6.499985e+01	5.731843e-05	7.150452e-10
2.454423e-02	6.435787e+01	5.731779e-05	7.157250e-10
2.501417e-02	6.372223e+01	5.731714e-05	7.164118e-10
2.549354e-02	6.309287e+01	5.731647e-05	7.171057e-10
2.598253e-02	6.246972e+01	5.731579e-05	7.178069e-10
2.648133e-02	6.185273e+01	5.731510e-05	7.185155e-10
2.699013e-02	6.124183e+01	5.731439e-05	7.192316e-10
2.750915e-02	6.063696e+01	5.731367e-05	7.199553e-10
2.803858e-02	6.003807e+01	5.731293e-05	7.206868e-10
2.857863e-02	5.944510e+01	5.731218e-05	7.214261e-10
2.912952e-02	5.885798e+01	5.731141e-05	7.221734e-10
2.969146e-02	5.827666e+01	5.731063e-05	7.229287e-10
3.026468e-02	5.770108e+01	5.730983e-05	7.236922e-10
3.084940e-02	5.713118e+01	5.730902e-05	7.244639e-10
3.144586e-02	5.656692e+01	5.730819e-05	7.252439e-10
3.205428e-02	5.600823e+01	5.730735e-05	7.260323e-10
3.267492e-02	5.545505e+01	5.730648e-05	7.268291e-10
3.330801e-02	5.490734e+01	5.730560e-05	7.276343e-10
3.395380e-02	5.436504e+01	5.730470e-05	7.284481e-10
3.461255e-02	5.382810e+01	5.730379e-05	7.292705e-10
3.528453e-02	5.329646e+01	5.730285e-05	7.301015e-10
3.596999e-02	5.277007e+01	5.730190e-05	7.309411e-10
3.666920e-02	5.224887e+01	5.730093e-05	7.317893e-10
3.738246e-02	5.173283e+01	5.729994e-05	7.326462e-10
3.811002e-02	5.122188e+01	5.729893e-05	7.335117e-10
3.885219e-02	5.071598e+01	5.729790e-05	7.343860e-10
3.960926e-02	5.021508e+01	5.729684e-05	7.352689e-10
4.038152e-02	4.971912e+01	5.729577e-05	7.361604e-10
4.116928e-02	4.922807e+01	5.729467e-05	7.370606e-10
4.197285e-02	4.874186e+01	5.729356e-05	7.379695e-10
4.279256e-02	4.826045e+01	5.729242e-05	7.388870e-10
4.362872e-02	4.778380e+01	5.729126e-05	7.398131e-10
4.448166e-02	4.731186e+01	5.729007e-05	7.407478e-10
4.535173e-02	4.684458e+01	5.728886e-05	7.416910e-10
4.623926e-02	4.638191e+01	5.728763e-05	7.426428e-10
4.714461e-02	4.592382e+01	5.728637e-05	7.436032e-10
4.806814e-02	4.547024e+01	5.728509e-05	7.445720e-10
4.901021e-02	4.502115e+01	5.728378e-05	7.455493e-10
4.997119e-02	4.457649e+01	5.728244e-05	7.465352e-10
5.095147e-02	4.413623e+01	5.728108e-05	7.475294e-10
5.195143e-02	4.370031e+01	5.727969e-05	7.485321e-10
5.297147e-02	4.326870e+01	5.727827e-05	7.495433e-10
5.401199e-02	4.284135e+01	5.727683e-05	7.505629e-10
5.507340e-02	4.241823e+01	5.727535e-05	7.515909e-10
5.615612e-02	4.199928e+01	5.727385e-05	7.526273e-10
5.726059e-02	4.158447e+01	5.727232e-05	7.536721e-10
5.838724e-02	4.117376e+01	5.727075e-05	7.547253e-10
5.953652e-02	4.076710e+01	5.726916e-05	7.557870e-10
6.070887e-02	4.036446e+01	5.726753e-05	7.568571e-10
6.190477e-02	3.996580e+01	5.726587e-05	7.579356e-10
6.312469e-02	3.957107e+01	5.726417e-05	7.590226e-10
6.436911e-02	3.918024e+01	5.726244e-05	7.601182e-10
6.563853e-02	3.879328e+01	5.726068e-05	7.612222e-10
6.693345e-02	3.841013e+01	5.725888e-05	7.623347e-10
6.825437e-02	3.803077e+01	5.725705e-05	7.634559e-10
6.960183e-02	3.765516e+01	5.725518e-05	7.645856e-10
7.097636e-02	3.728325e+01	5.725327e-05	7.657240e-10
7.237851e-02	3.691502e+01	5.725132e-05	7.668711e-10
7.380882e-02	3.655043e+01	5.724934e-05	7.680270e-10
7.526787e-02	3.618944e+01	5.724731e-05	7.691916e-10
7.675624e-02	3.583201e+01	5.724525e-05	7.703650e-10
7.827451e-02	3.547811e+01	5.724314e-05	7.715474e-10
7.982329e-02	3.512771e+01	5.724099e-05	7.727387e-10
8.140319e-02	3.478077e+01	5.723880e-05	7.739389e-10
8.301484e-02	3.443726e+01	5.723656e-05	7.751482e-10
8.465888e-02	3.409714e+01	5.723428e-05	7.763667e-10
8.633596e-02	3.376038e+01	5.723196e-05	7.775942e-10
8.804674e-02	3.342694e+01	5.722958e-05	7.788310e-10
8.979192e-02	3.309680e+01	5.722716e-05	7.800771e-10
9.157217e-02	3.276992e+01	5.722469e-05	7.813324e-10
9.338820e-02	3.244627e+01	5.722217e-05	7.825972e-10
9.524074e-02	3.212581e+01	5.721960e-05	7.838713e-10
9.713053e-02	3.180852e+01	5.721698e-05	7.851550e-10
9.905830e-02	3.149436e+01	5.721431e-05	7.864482e-10
1.010248e-01	3.118331e+01	5.721159e-05	7.877509e-10
1.030309e-01	3.087533e+01	5.720880e-05	7.890633e-10
1.050773e-01	3.057039e+01	5.720597e-05	7.903853e-10
1.071649e-01	3.026846e+01	5.720307e-05	7.917170e-10
1.092944e-01	2.996951e+01	5.720012e-05	7.930584e-10
1.114668e-01	2.967352e+01	5.719711e-05	7.944096e-10
1.136829e-01	2.938045e+01	5.719404e-05	7.957706e-10
1.159435e-01	2.909027e+01	5.719091e-05	7.971413e-10
1.182496e-01	2.880297e+01	5.718772e-05	7.985219e-10
1.206021e-01	2.851849e+01	5.718446e-05	7.999123e-10
1.230020e-01	2.823683e+01	5.718113e-05	8.013125e-10
1.254501e-01	2.795795e+01	5.717774e-05	8.027225e-10
1.279475e-01	2.768183e+01	5.717429e-05	8.041423e-10
1.304951e-01	2.740843e+01	5.717076e-05	8.055720e-10
1.330940e-01	2.713773e+01	5.716716e-05	8.070114e-10
1.357452e-01	2.686971e+01	5.716349e-05	8.084606e-10
1.384497e-01	2.660433e+01	5.715975e-05	8.099196e-10
